Account Type,סוג חשבון,
All fields are required.,כל השדות הינם שדות חובה.,
Personal,אישי,
Company,חברה,
First Name,שם פרטי,
Last Name,שם משפחה,
Select Country,בחר מדינה,
Job Title,תפקיד,
Company Name,שם החברה,
Company ID (VAT / Registration Number),מספר חברה (ח.פ / עוסק מורשה),
Password,סיסמה,
Confirm Password,אימות סיסמה,
Please fill in all required fields with a valid email address,נא למלא את כל השדות הנדרשים עם כתובת אימייל תקינה,
Password and Confirm Password do not match,הסיסמה ואימות הסיסמה אינם תואמים,
Please fill in all required fields.,נא למלא את כל השדות הנדרשים.,
Please enter a valid email address,נא להזין כתובת אימייל תקינה,
Please select a valid country,נא לבחור מדינה תקינה,
Bank Transfer Instructions,הוראות העברה בנקאית,
"Your order has been placed. Please complete payment by bank transfer using the details below, then upload your payment confirmation.","ההזמנה שלך נקלטה. יש להשלים את התשלום באמצעות העברה בנקאית לפי הפרטים למטה, ולהעלות אישור תשלום.",
Order Reference,מספר הזמנה,
Amount Due,סכום לתשלום,
Please use {0} as the payment reference so we can match your transfer.,נא לציין {0} כאסמכתא לתשלום כדי שנוכל לשייך את ההעברה שלך.,
Bank Account Details,פרטי חשבון בנק,
Account Name,שם בעל החשבון,
Bank,בנק,
Account Number,מספר חשבון,
Bank account details are not configured yet. Please contact us for payment instructions.,פרטי חשבון הבנק עדיין לא הוגדרו. אנא צרו איתנו קשר לקבלת הוראות תשלום.,
Upload Payment Confirmation,העלאת אישור תשלום,
Thank you - your payment confirmation has been received. Our Accounts team will verify it shortly.,תודה - אישור התשלום התקבל. צוות הנהלת החשבונות שלנו יאמת אותו בקרוב.,
Upload,העלאה,
Please choose a file first.,נא לבחור קובץ תחילה.,
Uploading...,מעלה...,
"Upload failed, please try again.","ההעלאה נכשלה, נא לנסות שוב.",
Please choose a file to upload,נא לבחור קובץ להעלאה,
{0}/month x {1} months = {2},{0}/חודש x {1} חודשים = {2},
Webshop Payment Method Rule,כלל אמצעי תשלום בחנות,
Payment Method Rules,כללי אמצעי תשלום,
Payment Proof Uploaded,אישור תשלום הועלה,
Subscription Term (Months),משך המנוי (חודשים),
Entitlement Start Date,תאריך תחילת הזכאות,
Entitlement End Date,תאריך סיום הזכאות,
Computerized Document,מסמך ממוחשב,
Company ID,עוסק מורשה/ח.פ.,
Phone,טלפון,
Fax,פקס,
Email,"דוא""ל",
Website,אתר,
Quotation,הצעת מחיר,
Order,הזמנה,
Date,תאריך,
Valid Till,בתוקף עד,
Delivery Date,תאריך אספקה,
To,לכבוד,
Tax ID,ת.ז./ע.מ.,
Description,פרוט,
Unit Price,מחיר יחידה,
Qty,כמות,
Total,"סה""כ",
Total before VAT,"סה""כ לפני מע""מ",
VAT,"מע""מ",
Total incl. VAT,"סה""כ כולל מע""מ",
Terms and Conditions,תנאים והגבלות,
Signature,חתימה,
Purchase Order & Bank Details,פרטי הזמנת רכש ותשלום,
"Upload your Purchase Order and payment confirmation here whenever you have them ready - you don't need to do both at once, and you can also email either one to us instead.","ניתן להעלות כאן את הזמנת הרכש ואישור התשלום בכל שלב שנוח לך - לא חובה להעלות את שניהם יחד, וניתן גם לשלוח כל אחד מהם אלינו במייל.",
Purchase Order,הזמנת רכש,
Awaiting Upload,ממתין להעלאה,
Received,התקבל,
"If you have a Purchase Order document, upload it here. You can also just send it to us by email instead - either way works.","אם יש ברשותך מסמך הזמנת רכש, ניתן להעלות אותו כאן. אפשר גם לשלוח אותו אלינו במייל - שתי הדרכים תקינות.",
Branch Code,קוד סניף,
IBAN,IBAN,
Payment Confirmation,אישור תשלום,
Not Permitted,לא מורשה,
"If you have proof of payment, upload it here. You can also just send it to us by email instead - either way works.","אם יש ברשותך אישור תשלום, ניתן להעלות אותו כאן. אפשר גם לשלוח אותו אלינו במייל - שתי הדרכים תקינות.",
We've also sent you an email with a copy of your quotation attached. You can always return to this page using the link in that email.,שלחנו אליך גם מייל עם עותק של הצעת המחיר מצורף. תמיד ניתן לחזור לעמוד זה באמצעות הקישור במייל.,
"If you have a Purchase Order document, upload it here. You can also just send it to us by email at {0} instead - either way works.","אם יש ברשותך מסמך הזמנת רכש, ניתן להעלות אותו כאן. אפשר גם לשלוח אותו אלינו במייל לכתובת {0} - שתי הדרכים תקינות.",
"If you have proof of payment, upload it here. You can also just send it to us by email at {0} instead - either way works.","אם יש ברשותך אישור תשלום, ניתן להעלות אותו כאן. אפשר גם לשלוח אותו אלינו במייל לכתובת {0} - שתי הדרכים תקינות.",
